Date,Index,DateSerial,Open,High,Low,Close,Volume,AdjClose,Return,VolumeK,Counter,HighLow,HighPrevCloseAbs,LowPrevCloseAbs,TrueRange,ATR_Stop,MaxPrice,Scale,Signal,Shares,Cash,Portfolio,AdjOpen,AdjHigh,AdjLow,AdjCloseCalc,BuyHold,BuyMarker,SellMarker,FirstBuy,FirstSell,StdDevPop,LowerBollinger,ATRTrailingStop
1988-12-16,1.0,32493.0,44.88,45.0,44.63,45.0,26180400.0,2.29,0.002673796791443861,26180.4,,,,,,,2.29,0.050888888888888886,,0.0,100000.0,100000.0,2.2838933333333333,2.29,2.2711711111111113,2.29,100000.0,0.0,0.0,0.0,0.0,,,ATR Trailing Stop
1988-12-19,2.0,32496.0,44.88,46.63,44.88,45.25,16902900.0,2.3,0.004366812227074135,16902.9,1.0,0.08895027624309426,0.08014364640883986,0.008806629834254398,0.08895027624309426,0.8895027624309426,2.3,0.05082872928176795,BUY,43836.70464233124,0.0,100824.42067736185,2.2811933701657456,2.37014364640884,2.2811933701657456,2.3,100436.68122270741,100436.68122270741,0.0,1.0,0.0,0.004999999999994173,2.2825000000000144,0.8895027624309426
1988-12-27,3.0,32504.0,45.13,45.25,44.25,44.75,6881400.0,2.27,-0.01304347826086949,6881.4,2.0,0.05072625698324007,0.00463687150837977,0.05536312849161984,0.05536312849161984,0.7215670236735705,2.3,0.05072625698324022,BUY,43836.70464233124,0.0,99509.31953809192,2.2892759776536313,2.29536312849162,2.24463687150838,2.27,99126.63755458515,0.0,0.0,0.0,0.0,0.012472191289263588,2.255486188443508,0.8895027624309426
1989-01-03,4.0,32511.0,44.63,45.25,43.5,44.63,18449100.0,2.27,0.0,18449.1,3.0,0.08900963477481527,0.03153484203450585,0.05747479274030942,0.08900963477481527,0.7777434650317645,2.3,0.05086264844275151,,43836.70464233124,0.0,99509.31953809192,2.27,2.301534842034506,2.2125252072596906,2.27,99126.63755458515,0.0,0.0,0.0,0.0,0.012990381056777082,2.250024047358057,0.8895027624309426
1989-01-09,5.0,32517.0,44.25,45.38,44.0,45.0,16385000.0,2.29,0.008810572687224738,16385.0,4.0,0.0702266666666671,0.039337777777777916,0.030888888888889188,0.0702266666666671,0.7588742654404912,2.3,0.050888888888888886,,43836.70464233124,0.0,100386.05363093855,2.2518333333333334,2.309337777777778,2.239111111111111,2.29,100000.0,0.0,0.0,0.0,0.0,0.012000000000057071,2.253999999999857,0.8895027624309426
1989-01-16,6.0,32524.0,44.88,46.13,44.75,45.5,16754600.0,2.31,0.008733624454148492,16754.6,5.0,0.0700615384615384,0.051984615384615296,0.0180769230769231,0.0700615384615384,0.7472224892754697,2.31,0.05076923076923077,,43836.70464233124,0.0,101262.78772378518,2.278523076923077,2.3419846153846153,2.271923076923077,2.31,100873.36244541485,0.0,0.0,0.0,0.0,0.014624940645680354,2.2517709817191323,0.8895027624309426
1989-01-23,7.0,32531.0,45.5,48.13,45.13,47.38,24455000.0,2.41,0.04329004329004338,24455.0,6.0,0.15259603208104666,0.13814900802026164,0.014447024060785019,0.15259603208104666,0.8770121278646359,2.41,0.05086534402701562,BUY,43836.70464233124,0.0,105646.4581880183,2.3143731532292104,2.4481490080202617,2.295552975939215,2.41,105240.1746724891,0.0,0.0,0.0,0.0,0.04467570220316534,2.1940250302063724,0.8895027624309426
1989-01-30,8.0,32538.0,47.5,49.0,47.25,47.88,19733200.0,2.43,0.008298755186721962,19733.2,7.0,0.08881578947368451,0.07684210526315782,0.011973684210526692,0.08881578947368451,0.8786043802749515,2.43,0.05075187969924812,BUY,43836.70464233124,0.0,106523.19228086493,2.4107142857142856,2.486842105263158,2.3980263157894735,2.43,106113.53711790395,0.0,0.0,0.0,0.0,0.05861687043846618,2.1747078239038347,0.8895027624309426
1989-02-06,9.0,32545.0,47.88,48.75,46.25,46.25,16792500.0,2.35,-0.03292181069958855,16792.5,8.0,0.12702702702702684,0.04702702702702677,0.08000000000000007,0.12702702702702684,0.9275626165243661,2.43,0.05081081081081081,BUY,43836.70464233124,0.0,103016.25590947842,2.432821621621622,2.477027027027027,2.35,2.35,102620.08733624456,0.0,0.0,0.0,0.0,0.05599823630378581,2.18444885368498,0.9275626165243661
1989-02-13,10.0,32552.0,46.0,47.38,45.5,46.88,14572300.0,2.38,0.012765957446808418,14572.3,9.0,0.09544368600682596,0.055383959044368325,0.04005972696245763,0.09544368600682596,0.9305486435847987,2.43,0.05076791808873719,,43836.70464233124,0.0,104331.35704874835,2.335324232081911,2.4053839590443684,2.3099402730375425,2.38,103930.13100436682,0.0,0.0,0.0,0.0,0.055677643628305525,2.1908058909292363,0.9275626165243661
1989-02-21,11.0,32560.0,47.0,47.13,45.25,45.25,15595200.0,2.3,-0.03361344537815125,15595.2,10.0,0.09555801104972383,0.015558011049723763,0.08000000000000007,0.09555801104972383,0.9378905711477205,2.43,0.05082872928176795,,43836.70464233124,0.0,100824.42067736185,2.3889502762430936,2.3955580110497237,2.3,2.3,100436.68122270743,0.0,0.0,0.0,0.0,0.05378254348271679,2.1928163685659356,0.9275626165243661
1989-02-27,12.0,32566.0,45.25,46.25,44.63,44.75,14990800.0,2.29,-0.004347826086956386,14990.8,11.0,0.08290055865921797,0.06675977653631326,0.016140782122904707,0.08290055865921797,0.968487715778385,2.43,0.0511731843575419,,43836.70464233124,0.0,100386.05363093855,2.315586592178771,2.366759776536313,2.283859217877095,2.29,100000.00000000001,0.0,0.0,0.0,0.0,0.05251322584728784,2.1928836020484472,0.9275626165243661
1989-03-06,13.0,32573.0,45.13,45.88,44.5,45.0,16437300.0,2.31,0.008733624454148492,16437.3,12.0,0.07084000000000001,0.06517333333333353,0.005666666666666487,0.07084000000000001,0.9482992326952571,2.43,0.051333333333333335,,43836.70464233124,0.0,101262.78772378518,2.3166733333333336,2.3551733333333336,2.2843333333333335,2.31,100873.36244541485,0.0,0.0,0.0,0.0,0.050594103545868054,2.1965916642122525,0.9275626165243661
1989-03-13,14.0,32580.0,44.88,46.63,44.88,44.88,20888400.0,2.3,-0.0043290043290044045,20888.4,13.0,0.08968360071301262,0.07968360071301239,0.010000000000000231,0.08968360071301262,0.9699180483023075,2.43,0.05124777183600712,,43836.70464233124,0.0,100824.42067736185,2.3,2.3896836007130124,2.3,2.3,100436.68122270743,0.0,0.0,0.0,0.0,0.049114609821917725,2.1986420468737773,0.9275626165243661
1989-03-20,15.0,32587.0,44.88,45.63,43.75,44.0,14423100.0,2.25,-0.021739130434782483,14423.1,14.0,0.09613636363636369,0.033352272727273036,0.06278409090909065,0.09613636363636369,0.9988900762743357,2.43,0.05113636363636364,,43836.70464233124,0.0,98632.58544524529,2.2950000000000004,2.333352272727273,2.237215909090909,2.25,98253.27510917031,0.0,0.0,0.0,0.0,0.05068420748999412,2.1899561479416816,0.9275626165243661
1989-03-27,16.0,32594.0,43.88,45.0,43.75,44.5,13323300.0,2.28,0.013333333333333197,13323.3,15.0,0.06404494382022463,0.05561797752808939,0.00842696629213524,0.06404494382022463,0.9004999782067556,2.43,0.05123595505617977,,43836.70464233124,0.0,99947.68658451522,2.248233707865168,2.3056179775280894,2.2415730337078648,2.28,99563.31877729257,0.0,0.0,0.0,0.0,0.04987092715199092,2.189697682120023,0.9275626165243661
1989-04-03,17.0,32601.0,44.63,45.63,44.5,45.13,10629100.0,2.31,0.013157894736842257,10629.1,16.0,0.05783957456237543,0.0555927321072458,0.0022468424551296273,0.05783957456237543,0.8660819616386345,2.43,0.051185464214491466,,43836.70464233124,0.0,101262.78772378518,2.284407267892754,2.3355927321072456,2.27775315754487,2.31,100873.36244541485,0.0,0.0,0.0,0.0,0.04839285600281312,2.193135507051791,0.9275626165243661
1989-04-10,18.0,32608.0,45.13,47.0,44.63,47.0,14669200.0,2.41,0.04329004329004338,14669.2,17.0,0.12152553191489357,0.10000000000000009,0.02152553191489348,0.12152553191489357,0.8599691892918198,2.43,0.05127659574468085,,43836.70464233124,0.0,105646.4581880183,2.314112765957447,2.41,2.2884744680851066,2.41,105240.1746724891,0.0,0.0,0.0,0.0,0.05190506528720157,2.1896817812264406,0.9275626165243661
1989-04-17,19.0,32615.0,46.75,48.63,46.75,48.38,20105500.0,2.48,0.029045643153526868,20105.5,18.0,0.09637040099214556,0.0828152128978914,0.013555188094254156,0.09637040099214556,0.8609988726088414,2.48,0.05126085159156676,,43836.70464233124,0.0,108715.02751298148,2.396444811905746,2.4928152128978915,2.396444811905746,2.48,108296.94323144107,0.0,0.0,0.0,0.0,0.061948955844261265,2.173022347231452,0.9275626165243661
1989-04-24,20.0,32622.0,48.13,49.25,47.75,48.88,16617100.0,2.5,0.008064516129032251,16617.1,19.0,0.07671849427168587,0.03892389525368234,0.03779459901800353,0.07671849427168587,0.8400660761887992,2.5,0.051145662847790506,BUY,43836.70464233124,0.0,109591.7616058281,2.4616407528641573,2.5189238952536823,2.4422054009819965,2.5,109170.3056768559,0.0,0.0,0.0,0.0,0.07108269831682651,2.1587932542079336,0.9275626165243661
1989-05-01,21.0,32629.0,48.5,49.25,47.63,47.75,11359200.0,2.45,-0.019999999999999907,11359.2,20.0,0.08312041884816734,0.026963350785340623,0.05615706806282672,0.08312041884816734,0.8403103652876319,2.5,0.051308900523560214,BUY,43836.70464233124,0.0,107399.92637371155,2.4884816753926704,2.5269633507853406,2.4438429319371733,2.45,106986.89956331879,0.0,0.0,0.0,0.0,0.07346000191999384,2.1582547571047774,0.9275626165243661
1989-05-08,22.0,32636.0,47.88,51.13,47.0,51.0,22744000.0,2.61,0.06530612244897949,22744.0,21.0,0.21135882352941193,0.16665294117647012,0.04470588235294182,0.21135882352941193,0.996442391431423,2.61,0.05117647058823529,,43836.70464233124,0.0,114413.79911648453,2.450329411764706,2.6166529411764703,2.4052941176470584,2.61,113973.79912663756,0.0,0.0,0.0,0.0,0.09093749556246679,2.1267471701847422,0.9275626165243661
1989-05-15,23.0,32643.0,51.38,54.13,51.25,53.88,36574500.0,2.76,0.05747126436781613,36574.5,22.0,0.14752783964365257,0.16280623608017786,0.015278396436525288,0.16280623608017786,1.0776897640616065,2.76,0.05122494432071269,BUY,43836.70464233124,0.0,120989.30481283422,2.631937639198218,2.7728062360801777,2.625278396436525,2.76,120524.01746724891,0.0,0.0,0.0,0.0,0.12149976467728066,2.0679897187415808,1.0776897640616065
1989-05-22,24.0,32650.0,54.25,54.38,52.63,54.25,23566300.0,2.78,0.007246376811594235,23566.3,23.0,0.08967741935483886,0.026661751152074142,0.06301566820276472,0.08967741935483886,1.0705131593043566,2.78,0.051244239631336404,BUY,43836.70464233124,0.0,121866.03890568085,2.78,2.786661751152074,2.696984331797235,2.78,121397.37991266376,0.0,0.0,0.0,0.0,0.14423107905949703,2.0281723023512574,1.0776897640616065
1989-05-30,25.0,32658.0,54.5,56.25,53.75,55.75,18165600.0,2.86,0.02877697841726623,18165.6,24.0,0.12825112107623315,0.10565022421524661,0.02260089686098654,0.12825112107623315,1.1418533562554773,2.86,0.05130044843049327,BUY,43836.70464233124,0.0,125372.97527706735,2.7958744394618833,2.8856502242152464,2.7573991031390133,2.86,124890.82969432315,0.0,0.0,0.0,0.0,0.16881421741073632,1.9855644564731592,1.1418533562554773
1989-06-05,26.0,32664.0,55.75,55.88,54.13,54.63,16538600.0,2.82,-0.013986013986013957,16538.6,25.0,0.09033498077979152,0.024524986271279747,0.06580999450851177,0.09033498077979152,1.1779593631637173,2.86,0.05161998901702361,BUY,43836.70464233124,0.0,123619.5070913741,2.877814387699066,2.8845249862712796,2.794190005491488,2.82,123144.10480349345,0.0,0.0,0.0,0.0,0.18355343610329114,1.9645779482033108,1.1779593631637173
1989-06-12,27.0,32671.0,54.5,54.63,52.13,53.38,24354700.0,2.76,-0.021276595744680882,24354.7,26.0,0.12926189584113867,0.004630947920569284,0.12463094792056939,0.12926189584113867,1.1865553230817676,2.86,0.051704758336455596,,43836.70464233124,0.0,120989.30481283422,2.81790932933683,2.824630947920569,2.6953690520794304,2.76,120524.01746724891,0.0,0.0,0.0,0.0,0.19100628764634803,1.9584102068100557,1.1779593631637173
